Comparing the following files: 
hadleigh_front_s28_v2/,  hadleigh_front_s27_v2/,  

Correlation cuttoff is 1
landmark(s),  hadleigh_front_s28_v2_vs_hadleigh_front_s27_v2,  average
(386, 388),     -0.32076,       -0.32076
(158, 300),     -0.32022,       -0.32022
(30, 46),     -0.31997,       -0.31997
(35, 362),     -0.31986,       -0.31986
(52, 160),     -0.31976,       -0.31976
(283, 398),     -0.31972,       -0.31972
(339, 374),     -0.3197,       -0.3197
(256, 374),     -0.31943,       -0.31943
(35, 417),     -0.31896,       -0.31896
(255, 384),     -0.31893,       -0.31893
(27, 253),     -0.31866,       -0.31866
(159, 254),     -0.31861,       -0.31861
(63, 253),     -0.31815,       -0.31815
(66, 353),     -0.31772,       -0.31772
(55, 158),     -0.31694,       -0.31694
(339, 362),     -0.31691,       -0.31691
(158, 255),     -0.31688,       -0.31688
(153, 382),     -0.31665,       -0.31665
(23, 339),     -0.31664,       -0.31664
(22, 255),     -0.31637,       -0.31637
(341, 359),     -0.31635,       -0.31635
(107, 276),     -0.31565,       -0.31565
(293, 334),     -0.31565,       -0.31565
(193, 255),     -0.31515,       -0.31515
(160, 334),     -0.3147,       -0.3147
(295, 336),     -0.31457,       -0.31457
(190, 256),     -0.3145,       -0.3145
(24, 339),     -0.31404,       -0.31404
(252, 466),     -0.31382,       -0.31382
(144, 339),     -0.31378,       -0.31378
(282, 398),     -0.31281,       -0.31281
(153, 463),     -0.31259,       -0.31259
(263, 381),     -0.3124,       -0.3124
(173, 296),     -0.31236,       -0.31236
(276, 383),     -0.3123,       -0.3123
(35, 382),     -0.3121,       -0.3121
(52, 107),     -0.31168,       -0.31168
(112, 249),     -0.31131,       -0.31131
(66, 383),     -0.31097,       -0.31097
(105, 339),     -0.31084,       -0.31084
(381, 385),     -0.31074,       -0.31074
(30, 254),     -0.31043,       -0.31043
(112, 382),     -0.31035,       -0.31035
(390, 398),     -0.30979,       -0.30979
(253, 263),     -0.30939,       -0.30939
(29, 339),     -0.30904,       -0.30904
(157, 243),     -0.30836,       -0.30836
(144, 253),     -0.30786,       -0.30786
(243, 417),     -0.30773,       -0.30773
(105, 383),     -0.30726,       -0.30726
(265, 380),     -0.30722,       -0.30722
(27, 160),     -0.30721,       -0.30721
(105, 253),     -0.30714,       -0.30714
(35, 398),     -0.30585,       -0.30585
(300, 398),     -0.30551,       -0.30551
(386, 466),     -0.30549,       -0.30549
(25, 193),     -0.30371,       -0.30371
(381, 463),     -0.3037,       -0.3037
(296, 384),     -0.30343,       -0.30343
(65, 159),     -0.30333,       -0.30333
(53, 254),     -0.30333,       -0.30333
