Comparing the following files: 
kelly_front_s28_v2/,  kelly_front_s27_v2/,  

Correlation cuttoff is 1
landmark(s),  kelly_front_s28_v2_vs_kelly_front_s27_v2,  average
(7, 157),     -0.12538,       -0.12538
(7, 173),     -0.12524,       -0.12524
(336, 385),     -0.12513,       -0.12513
(156, 388),     -0.12503,       -0.12503
(161, 353),     -0.12502,       -0.12502
(52, 387),     -0.12487,       -0.12487
(130, 160),     -0.12486,       -0.12486
(66, 282),     -0.1248,       -0.1248
(254, 362),     -0.12464,       -0.12464
(33, 63),     -0.12449,       -0.12449
(63, 249),     -0.12424,       -0.12424
(158, 334),     -0.12396,       -0.12396
(276, 339),     -0.1239,       -0.1239
(28, 282),     -0.12358,       -0.12358
(154, 163),     -0.1232,       -0.1232
(70, 417),     -0.12302,       -0.12302
(295, 385),     -0.12275,       -0.12275
(65, 386),     -0.12252,       -0.12252
(156, 386),     -0.12245,       -0.12245
(27, 353),     -0.12199,       -0.12199
(30, 417),     -0.12194,       -0.12194
(70, 258),     -0.1219,       -0.1219
(55, 263),     -0.1216,       -0.1216
(384, 467),     -0.12144,       -0.12144
(66, 246),     -0.12137,       -0.12137
(25, 258),     -0.12111,       -0.12111
(7, 105),     -0.12104,       -0.12104
(65, 249),     -0.12061,       -0.12061
(65, 285),     -0.12058,       -0.12058
(249, 384),     -0.12048,       -0.12048
(247, 300),     -0.12046,       -0.12046
(28, 353),     -0.12044,       -0.12044
(155, 163),     -0.12038,       -0.12038
(285, 386),     -0.12032,       -0.12032
(107, 157),     -0.12019,       -0.12019
(30, 293),     -0.12017,       -0.12017
(249, 259),     -0.12007,       -0.12007
(52, 263),     -0.11997,       -0.11997
(282, 388),     -0.11991,       -0.11991
(276, 300),     -0.11976,       -0.11976
(53, 263),     -0.11971,       -0.11971
(159, 286),     -0.11963,       -0.11963
(163, 258),     -0.11947,       -0.11947
(263, 265),     -0.1194,       -0.1194
(105, 193),     -0.11936,       -0.11936
(258, 388),     -0.11935,       -0.11935
(387, 466),     -0.11925,       -0.11925
(63, 255),     -0.11914,       -0.11914
(28, 388),     -0.11909,       -0.11909
(249, 260),     -0.11906,       -0.11906
(295, 467),     -0.11871,       -0.11871
(107, 387),     -0.11861,       -0.11861
(63, 260),     -0.11856,       -0.11856
(263, 276),     -0.11855,       -0.11855
(163, 173),     -0.11846,       -0.11846
(105, 466),     -0.11817,       -0.11817
(160, 246),     -0.11804,       -0.11804
(46, 259),     -0.11798,       -0.11798
(52, 246),     -0.1178,       -0.1178
(30, 295),     -0.11776,       -0.11776
(380, 390),     -0.11671,       -0.11671
(53, 296),     -0.11658,       -0.11658
