Comparing the following files: 
hadleigh_front_s1_v2/,  hadleigh_low_s1_v2/,  hadleigh_right_threequarter_s1_v2/,  hadleigh_left_threequarter_s1_v2/,  

Correlation cuttoff is -1
landmark(s),  hadleigh_front_s1_v2_vs_hadleigh_low_s1_v2,  hadleigh_front_s1_v2_vs_hadleigh_right_threequarter_s1_v2,  hadleigh_front_s1_v2_vs_hadleigh_left_threequarter_s1_v2,  hadleigh_low_s1_v2_vs_hadleigh_right_threequarter_s1_v2,  hadleigh_low_s1_v2_vs_hadleigh_left_threequarter_s1_v2,  hadleigh_right_threequarter_s1_v2_vs_hadleigh_left_threequarter_s1_v2,  average
(157, 285),     0.66098,       0.75744,       0.36669,       0.78937,       0.16533,       0.36726,       0.51784
(161, 258),     0.67885,       0.4557,       0.42357,       0.60446,       0.52861,       0.40559,       0.51613
(7, 414),     0.61704,       0.57171,       0.35594,       0.69069,       0.50993,       0.35074,       0.51601
(25, 260),     0.49296,       0.68204,       0.44438,       0.50222,       0.45286,       0.52099,       0.51591
(25, 282),     0.54915,       0.77525,       0.53511,       0.43169,       0.31989,       0.48366,       0.51579
(130, 384),     0.65811,       0.57295,       0.23668,       0.77859,       0.42015,       0.42793,       0.51573
(130, 282),     0.60324,       0.76839,       0.4578,       0.51984,       0.29742,       0.44621,       0.51548
(163, 386),     0.56801,       0.53881,       0.37301,       0.68468,       0.53909,       0.38777,       0.51523
(158, 296),     0.49659,       0.76337,       0.52163,       0.63912,       0.20269,       0.46691,       0.51505
(145, 258),     0.57976,       0.69981,       0.58659,       0.37252,       0.40426,       0.44715,       0.51502
(7, 386),     0.56541,       0.51947,       0.35452,       0.71388,       0.5334,       0.40029,       0.5145
(265, 292),     0.81002,       0.86154,       0.20695,       0.84215,       0.21748,       0.14679,       0.51416
(265, 308),     0.81864,       0.8649,       0.20442,       0.84825,       0.20865,       0.13958,       0.51407
(110, 296),     0.4152,       0.79081,       0.60716,       0.44839,       0.27569,       0.54603,       0.51388
(144, 386),     0.58904,       0.53576,       0.38735,       0.65633,       0.53141,       0.38234,       0.51371
(35, 295),     0.68322,       0.57516,       0.58382,       0.51599,       0.38215,       0.34043,       0.51346
(159, 334),     0.42831,       0.70853,       0.55269,       0.57902,       0.3072,       0.5017,       0.51291
(110, 256),     0.55593,       0.54088,       0.34773,       0.77491,       0.41283,       0.44504,       0.51289
(130, 334),     0.49261,       0.75643,       0.50993,       0.566,       0.28033,       0.47102,       0.51272
(23, 463),     0.43976,       0.59619,       0.52163,       0.62464,       0.48777,       0.40491,       0.51248
(247, 285),     0.62977,       0.60233,       0.41461,       0.66368,       0.32459,       0.43806,       0.51217
(55, 247),     0.65998,       0.48479,       0.54512,       0.50578,       0.42687,       0.45026,       0.51213
