Comparing the following files: 
kelly_front_s1_v2/,  hadleigh_front_s1_v2/,  

Correlation cuttoff is 1
landmark(s),  kelly_front_s1_v2_vs_hadleigh_front_s1_v2,  average
(154, 287),     -0.20927,       -0.20927
(308, 318),     -0.2091,       -0.2091
(80, 318),     -0.20908,       -0.20908
(145, 193),     -0.20871,       -0.20871
(14, 291),     -0.20713,       -0.20713
(78, 402),     -0.20713,       -0.20713
(145, 306),     -0.20677,       -0.20677
(70, 173),     -0.2067,       -0.2067
(78, 178),     -0.20644,       -0.20644
(373, 383),     -0.2063,       -0.2063
(191, 318),     -0.20622,       -0.20622
(14, 76),     -0.2057,       -0.2057
(300, 386),     -0.20557,       -0.20557
(191, 310),     -0.20543,       -0.20543
(65, 306),     -0.20543,       -0.20543
(153, 308),     -0.20528,       -0.20528
(91, 318),     -0.20521,       -0.20521
(53, 417),     -0.20516,       -0.20516
(300, 381),     -0.20468,       -0.20468
(62, 402),     -0.20459,       -0.20459
(88, 318),     -0.20442,       -0.20442
(87, 306),     -0.20421,       -0.20421
(76, 287),     -0.20377,       -0.20377
(70, 321),     -0.2035,       -0.2035
(98, 327),     -0.20327,       -0.20327
(292, 402),     -0.20254,       -0.20254
(91, 324),     -0.20236,       -0.20236
(63, 398),     -0.20212,       -0.20212
(178, 314),     -0.2021,       -0.2021
(163, 417),     -0.20199,       -0.20199
(53, 66),     -0.2018,       -0.2018
(33, 269),     -0.20163,       -0.20163
(70, 153),     -0.20161,       -0.20161
(124, 321),     -0.20152,       -0.20152
(63, 98),     -0.20136,       -0.20136
(98, 145),     -0.20024,       -0.20024
(17, 383),     -0.19999,       -0.19999
(154, 306),     -0.19964,       -0.19964
(193, 291),     -0.19938,       -0.19938
(62, 246),     -0.19834,       -0.19834
(78, 327),     -0.1983,       -0.1983
(306, 317),     -0.19829,       -0.19829
(70, 193),     -0.19745,       -0.19745
(76, 246),     -0.19737,       -0.19737
(105, 324),     -0.19728,       -0.19728
(78, 246),     -0.19727,       -0.19727
(95, 375),     -0.19689,       -0.19689
(178, 306),     -0.19687,       -0.19687
(105, 327),     -0.19674,       -0.19674
(88, 324),     -0.19664,       -0.19664
(76, 91),     -0.19623,       -0.19623
(353, 382),     -0.19591,       -0.19591
(61, 246),     -0.19586,       -0.19586
(91, 156),     -0.19559,       -0.19559
(46, 107),     -0.19547,       -0.19547
(35, 91),     -0.19533,       -0.19533
(62, 178),     -0.19476,       -0.19476
(146, 402),     -0.19413,       -0.19413
(78, 375),     -0.19394,       -0.19394
(95, 314),     -0.19384,       -0.19384
(146, 405),     -0.19383,       -0.19383
(88, 292),     -0.19326,       -0.19326
(76, 87),     -0.19251,       -0.19251
(144, 291),     -0.19201,       -0.19201
(63, 382),     -0.19159,       -0.19159
(88, 375),     -0.19146,       -0.19146
(61, 317),     -0.1912,       -0.1912
(181, 353),     -0.19115,       -0.19115
(246, 270),     -0.19097,       -0.19097
(14, 383),     -0.19076,       -0.19076
(14, 146),     -0.19051,       -0.19051
(70, 362),     -0.19029,       -0.19029
(63, 409),     -0.1902,       -0.1902
(163, 270),     -0.19018,       -0.19018
(157, 276),     -0.18918,       -0.18918
(156, 381),     -0.18908,       -0.18908
(133, 287),     -0.18882,       -0.18882
(33, 160),     -0.18851,       -0.18851
(76, 310),     -0.18848,       -0.18848
(105, 156),     -0.1883,       -0.1883
(17, 265),     -0.18785,       -0.18785
(35, 159),     -0.18772,       -0.18772
(145, 291),     -0.18741,       -0.18741
(80, 269),     -0.18735,       -0.18735
(35, 318),     -0.18734,       -0.18734
(66, 306),     -0.18716,       -0.18716
(76, 402),     -0.18694,       -0.18694
(91, 308),     -0.18667,       -0.18667
(185, 327),     -0.18623,       -0.18623
(57, 402),     -0.18556,       -0.18556
(98, 160),     -0.18534,       -0.18534
(78, 124),     -0.18513,       -0.18513
(91, 300),     -0.18512,       -0.18512
(62, 124),     -0.18509,       -0.18509
(87, 291),     -0.18504,       -0.18504
(63, 154),     -0.18478,       -0.18478
(191, 324),     -0.18455,       -0.18455
(145, 409),     -0.18381,       -0.18381
(291, 317),     -0.18324,       -0.18324
(35, 158),     -0.18292,       -0.18292
(327, 409),     -0.1828,       -0.1828
(70, 380),     -0.18249,       -0.18249
(178, 375),     -0.18236,       -0.18236
(61, 163),     -0.18222,       -0.18222
(14, 61),     -0.18221,       -0.18221
(193, 306),     -0.18143,       -0.18143
(76, 124),     -0.18132,       -0.18132
(158, 383),     -0.18126,       -0.18126
(40, 311),     -0.181,       -0.181
(76, 163),     -0.18041,       -0.18041
(80, 267),     -0.18039,       -0.18039
(80, 311),     -0.17967,       -0.17967
(285, 293),     -0.17954,       -0.17954
(53, 65),     -0.17929,       -0.17929
(65, 292),     -0.179,       -0.179
(95, 409),     -0.17892,       -0.17892
(146, 156),     -0.17892,       -0.17892
(61, 124),     -0.17878,       -0.17878
